Time, Quadrant Number, Ball Colour, Event Type
18.40, 4, red, Exit
18.50, 3, red, Exit
18.50, 4, red, Exit
18.53, 3, red, Exit
18.53, 4, red, Exit
18.57, 3, red, Exit
18.57, 4, red, Exit
18.60, 2, red, Exit
18.63, 3, red, Exit
18.63, 4, red, Exit
18.67, 2, red, Exit
18.70, 4, red, Exit
18.73, 2, red, Exit
18.77, 4, red, Exit
18.83, 1, red, Exit
18.87, 4, red, Exit
18.87, 1, red, Exit
18.90, 4, red, Exit
18.97, 3, red, Exit
18.97, 4, red, Exit
18.97, 2, red, Exit
19.00, 4, red, Exit
19.00, 2, red, Exit
19.03, 4, red, Exit
19.07, 3, red, Exit
19.07, 4, red, Exit
19.37, 2, red, Exit
19.40, 4, red, Exit
19.40, 2, red, Exit
19.43, 4, red, Exit
19.50, 1, red, Exit
19.53, 3, red, Exit
19.53, 4, red, Exit
19.57, 3, red, Exit
19.57, 4, red, Exit
19.60, 3, red, Exit
19.60, 4, red, Exit
19.63, 3, red, Exit
19.63, 4, red, Exit
19.73, 1, red, Exit
19.77, 4, red, Exit
19.77, 3, red, Exit
19.80, 4, red, Exit
20.00, 3, red, Exit
20.00, 4, red, Exit
20.00, 3, red, Exit
20.00, 1, red, Exit
20.03, 3, red, Exit
20.03, 4, red, Exit
20.20, 3, red, Exit
20.20, 4, red, Exit
20.23, 3, red, Exit
20.23, 4, red, Exit
20.60, 3, red, Exit
20.60, 4, red, Exit
20.63, 3, red, Exit
20.63, 4, red, Exit
20.73, 3, red, Exit
20.77, 4, red, Exit
20.97, 3, red, Exit
20.97, 4, red, Exit
20.97, 2, red, Exit
21.00, 4, red, Exit
21.07, 3, red, Exit
21.07, 4, red, Exit
21.10, 3, red, Exit
21.10, 1, red, Exit
21.13, 4, red, Exit
21.13, 1, red, Exit
21.23, 3, red, Exit
21.27, 1, red, Exit
21.30, 3, red, Exit
21.47, 4, red, Exit
21.90, 3, red, Exit
22.43, 4, red, Exit
22.53, 3, red, Exit
22.80, 4, red, Exit
23.03, 1, red, Exit
23.27, 4, white, Exit
23.30, 4, red, Exit
23.33, 3, red, Exit
23.33, 4, red, Exit
23.33, 3, red, Exit
23.37, 4, red, Exit
23.37, 3, red, Exit
23.40, 4, red, Exit
23.47, 2, red, Exit
23.50, 2, white, Exit
23.57, 3, red, Exit
23.57, 2, red, Exit
23.70, 1, red, Exit
23.73, 2, red, Exit
23.97, 3, red, Exit
24.23, 4, red, Exit
24.27, 2, red, Exit
24.53, 3, red, Exit
24.53, 2, red, Exit
24.57, 4, red, Exit
24.57, 1, white, Exit
24.57, 2, white, Exit
24.77, 1, red, Exit
24.90, 3, red, Exit
24.90, 4, red, Exit
24.93, 1, red, Exit
24.97, 4, red, Exit
25.17, 1, red, Exit
25.20, 4, red, Exit
25.53, 2, red, Exit
25.57, 4, red, Exit
25.60, 2, red, Exit
25.70, 4, red, Exit
25.70, 2, red, Exit
25.73, 3, red, Exit
25.87, 1, red, Exit
26.03, 4, red, Exit
26.17, 2, red, Exit
26.20, 1, red, Exit
26.33, 4, red, Exit
26.33, 3, red, Exit
26.37, 4, red, Exit
26.47, 2, red, Exit
26.50, 4, red, Exit
26.50, 2, red, Exit
26.53, 4, red, Exit
26.60, 2, red, Exit
26.63, 4, red, Exit
26.67, 2, red, Exit
26.70, 4, red, Exit
26.70, 2, red, Exit
26.73, 4, red, Exit
26.80, 2, red, Exit
26.83, 4, red, Exit
26.87, 2, red, Exit
26.90, 4, red, Exit
26.90, 2, red, Exit
26.93, 4, red, Exit
26.93, 2, red, Exit
26.97, 3, red, Exit
26.97, 4, red, Exit
27.03, 2, red, Exit
27.07, 4, red, Exit
27.17, 3, red, Exit
27.20, 4, red, Exit
27.23, 3, red, Exit
27.27, 4, red, Exit
27.27, 3, red, Exit
27.27, 2, red, Exit
27.30, 4, red, Exit
27.30, 3, red, Exit
27.30, 2, red, Exit
27.33, 4, red, Exit
27.33, 3, red, Exit
27.37, 4, red, Exit
27.37, 3, red, Exit
27.40, 4, red, Exit
27.40, 3, red, Exit
27.40, 2, red, Exit
27.43, 3, red, Exit
27.43, 2, red, Exit
27.47, 4, red, Exit
27.47, 3, red, Exit
27.47, 2, red, Exit
27.50, 3, red, Exit
27.50, 2, red, Exit
27.53, 4, red, Exit
27.53, 3, red, Exit
27.57, 4, red, Exit
27.57, 3, red, Exit
27.60, 4, red, Exit
27.60, 3, red, Exit
27.63, 4, red, Exit
27.63, 3, red, Exit
27.63, 4, red, Exit
27.67, 3, red, Exit
27.67, 4, red, Exit
27.70, 3, red, Exit
27.73, 4, red, Exit
27.73, 2, red, Exit
27.77, 4, red, Exit
27.80, 1, red, Exit
27.83, 4, red, Exit
27.90, 3, red, Exit
27.90, 4, red, Exit
27.97, 3, red, Exit
27.97, 4, red, Exit
27.97, 3, red, Exit
28.00, 4, red, Exit
28.13, 3, red, Exit
28.13, 4, red, Exit
28.67, 3, red, Exit
28.67, 4, red, Exit
28.67, 2, red, Exit
28.70, 4, red, Exit
28.93, 3, red, Exit
28.93, 4, red, Exit
28.93, 2, red, Exit
28.97, 4, red, Exit
28.97, 3, red, Exit
28.97, 2, red, Exit
29.00, 3, red, Exit
29.00, 4, red, Exit
29.00, 1, red, Exit
29.03, 4, red, Exit
29.03, 1, red, Exit
29.07, 4, red, Exit
29.07, 1, red, Exit
29.10, 4, red, Exit
29.20, 3, red, Exit
29.20, 4, red, Exit
29.23, 1, red, Exit
29.27, 4, red, Exit
29.47, 2, red, Exit
29.50, 4, red, Exit
29.53, 2, red, Exit
29.57, 3, red, Exit
29.57, 4, red, Exit
29.63, 3, red, Exit
29.63, 4, red, Exit
29.67, 3, red, Exit
29.67, 4, red, Exit
29.67, 4, white, Exit
29.67, 2, white, Exit
29.70, 2, red, Exit
29.70, 4, white, Exit
29.70, 1, white, Exit
29.70, 2, white, Exit
29.73, 4, red, Exit
29.73, 2, red, Exit
29.73, 4, white, Exit
29.73, 2, white, Exit
29.77, 3, red, Exit
29.77, 4, red, Exit
29.77, 4, white, Exit
29.77, 2, white, Exit
29.77, 4, white, Exit
29.80, 3, red, Exit
29.80, 4, red, Exit
29.80, 2, white, Exit
29.83, 4, white, Exit
29.83, 2, white, Exit
29.83, 4, white, Exit
29.87, 1, red, Exit
29.87, 2, white, Exit
29.87, 4, white, Exit
29.90, 4, red, Exit
29.90, 2, white, Exit
29.90, 4, white, Exit
29.93, 3, red, Exit
29.93, 4, red, Exit
29.93, 2, white, Exit
29.93, 4, white, Exit
29.93, 2, white, Exit
29.97, 2, red, Exit
29.97, 4, white, Exit
29.97, 2, white, Exit
29.97, 1, white, Exit
30.00, 4, red, Exit
30.00, 4, white, Exit
30.00, 2, white, Exit
30.00, 4, white, Exit
30.00, 2, white, Exit
30.03, 3, red, Exit
30.03, 4, red, Exit
30.03, 4, white, Exit
30.03, 2, white, Exit
30.07, 3, red, Exit
30.07, 4, red, Exit
30.07, 4, white, Exit
30.07, 2, white, Exit
30.07, 1, white, Exit
30.07, 2, white, Exit
30.10, 3, red, Exit
30.10, 4, red, Exit
30.10, 4, white, Exit
30.10, 2, white, Exit
30.30, 1, red, Exit
30.33, 4, red, Exit
30.43, 3, red, Exit
30.47, 4, red, Exit
30.47, 1, red, Exit
30.50, 4, red, Exit
30.60, 1, red, Exit
30.63, 4, red, Exit
30.73, 3, red, Exit
30.77, 4, red, Exit
30.77, 1, red, Exit
30.80, 4, red, Exit
31.03, 3, red, Exit
31.07, 4, red, Exit
31.40, 2, red, Exit
31.43, 4, red, Exit
31.50, 3, red, Exit
31.53, 4, red, Exit
31.57, 3, red, Exit
31.57, 4, red, Exit
31.60, 2, red, Exit
31.63, 3, red, Exit
31.63, 4, red, Exit
31.63, 3, red, Exit
31.67, 4, red, Exit
31.73, 3, red, Exit
31.77, 4, red, Exit
31.80, 3, red, Exit
31.80, 4, red, Exit
31.87, 3, red, Exit
31.87, 4, red, Exit
31.87, 2, red, Exit
31.90, 4, red, Exit
32.07, 3, red, Exit
32.07, 4, red, Exit
32.10, 1, red, Exit
32.13, 4, red, Exit
32.17, 2, red, Exit
32.20, 4, red, Exit
32.20, 2, red, Exit
32.23, 3, red, Exit
32.23, 4, red, Exit
32.27, 3, red, Exit
32.27, 4, red, Exit
32.37, 2, red, Exit
32.40, 4, red, Exit
32.50, 3, red, Exit
32.50, 4, red, Exit
32.63, 2, red, Exit
32.67, 4, red, Exit
32.73, 3, red, Exit
32.73, 4, red, Exit
32.80, 1, red, Exit
32.83, 4, red, Exit
32.93, 2, red, Exit
32.97, 4, red, Exit
33.00, 1, red, Exit
33.03, 4, red, Exit
33.10, 1, red, Exit
33.13, 4, red, Exit
33.27, 3, red, Exit
33.30, 4, red, Exit
33.30, 4, white, Exit
33.30, 2, white, Exit
33.37, 4, white, Exit
33.37, 2, white, Exit
33.40, 4, white, Exit
33.40, 2, white, Exit
33.40, 1, white, Exit
33.43, 4, white, Exit
33.43, 2, white, Exit
33.43, 1, white, Exit
33.43, 2, white, Exit
33.47, 2, red, Exit
33.47, 4, white, Exit
33.47, 2, white, Exit
33.47, 1, white, Exit
33.50, 4, red, Exit
33.50, 2, red, Exit
33.50, 4, white, Exit
33.50, 2, white, Exit
33.50, 4, white, Exit
33.53, 4, red, Exit
33.53, 2, white, Exit
33.57, 4, white, Exit
33.57, 2, white, Exit
33.60, 4, white, Exit
33.60, 2, white, Exit
33.63, 4, white, Exit
33.63, 2, white, Exit
33.63, 4, white, Exit
33.67, 2, white, Exit
33.70, 3, red, Exit
33.70, 4, red, Exit
33.70, 4, white, Exit
33.70, 2, white, Exit
33.73, 4, white, Exit
33.73, 2, white, Exit
33.73, 4, white, Exit
33.77, 2, white, Exit
33.77, 4, white, Exit
33.80, 2, white, Exit
33.80, 4, white, Exit
33.83, 2, white, Exit
33.83, 4, white, Exit
33.87, 2, white, Exit
33.87, 4, white, Exit
33.90, 2, white, Exit
33.90, 4, white, Exit
33.93, 2, white, Exit
33.93, 4, white, Exit
33.97, 2, white, Exit
33.97, 4, white, Exit
34.00, 2, red, Exit
34.00, 2, white, Exit
34.00, 4, white, Exit
34.03, 4, red, Exit
34.03, 2, red, Exit
34.03, 2, white, Exit
34.03, 4, white, Exit
34.07, 3, red, Exit
34.07, 4, red, Exit
34.07, 2, red, Exit
34.07, 2, white, Exit
34.07, 4, white, Exit
34.10, 3, red, Exit
34.10, 4, red, Exit
34.10, 2, white, Exit
34.10, 4, white, Exit
34.13, 2, white, Exit
34.13, 4, white, Exit
34.17, 2, white, Exit
34.17, 4, white, Exit
34.20, 2, white, Exit
34.20, 4, white, Exit
34.23, 2, white, Exit
34.23, 1, white, Exit
34.23, 4, white, Exit
34.27, 2, white, Exit
34.27, 4, white, Exit
34.30, 2, white, Exit
34.33, 4, white, Exit
34.33, 2, white, Exit
34.40, 3, red, Exit
34.40, 4, red, Exit
34.43, 3, red, Exit
34.43, 4, red, Exit
34.47, 2, red, Exit
34.50, 4, red, Exit
34.60, 2, red, Exit
34.63, 4, red, Exit
34.67, 2, red, Exit
34.70, 4, red, Exit
34.83, 3, red, Exit
34.83, 4, red, Exit
34.83, 2, red, Exit
34.87, 4, red, Exit
34.87, 2, red, Exit
34.90, 4, red, Exit
34.93, 3, red, Exit
34.93, 4, red, Exit
34.97, 1, red, Exit
35.00, 4, red, Exit
35.23, 3, red, Exit
35.23, 4, red, Exit
35.53, 2, red, Exit
35.57, 4, red, Exit
35.60, 2, red, Exit
35.63, 4, red, Exit
35.67, 3, red, Exit
35.67, 4, red, Exit
35.87, 2, red, Exit
35.90, 3, red, Exit
35.90, 4, red, Exit
35.93, 3, red, Exit
35.93, 4, red, Exit
35.93, 3, red, Exit
35.97, 4, red, Exit
35.97, 3, red, Exit
36.00, 4, red, Exit
36.03, 3, red, Exit
36.07, 4, red, Exit
36.27, 3, red, Exit
36.27, 4, red, Exit
36.30, 1, red, Exit
36.33, 4, red, Exit
36.33, 3, red, Exit
36.33, 4, red, Exit
36.33, 1, red, Exit
36.37, 3, red, Exit
36.37, 4, red, Exit
36.40, 2, red, Exit
36.43, 4, red, Exit
36.47, 1, red, Exit
36.50, 4, red, Exit
36.57, 3, red, Exit
36.57, 4, red, Exit
36.83, 2, red, Exit
36.87, 4, red, Exit
36.90, 3, red, Exit
36.90, 4, red, Exit
36.93, 1, red, Exit
36.97, 4, red, Exit
36.97, 1, red, Exit
37.00, 4, red, Exit
37.00, 1, red, Exit
37.00, 2, red, Exit
37.03, 3, red, Exit
37.03, 4, red, Exit
37.03, 2, red, Exit
37.07, 3, red, Exit
37.07, 4, red, Exit
37.07, 2, red, Exit
37.10, 4, red, Exit
37.10, 2, red, Exit
37.13, 4, red, Exit
37.13, 2, red, Exit
37.17, 4, red, Exit
37.20, 3, red, Exit
37.20, 4, red, Exit
37.33, 1, red, Exit
37.33, 2, red, Exit
37.37, 4, red, Exit
37.37, 1, red, Exit
37.40, 4, red, Exit
37.47, 1, red, Exit
37.50, 4, red, Exit
37.50, 1, red, Exit
37.50, 2, red, Exit
37.53, 4, red, Exit
37.53, 2, red, Exit
37.57, 3, red, Exit
37.57, 4, red, Exit
37.57, 2, red, Exit
37.60, 4, red, Exit
37.67, 3, red, Exit
37.67, 4, red, Exit
37.73, 2, red, Exit
37.77, 4, red, Exit
37.77, 2, red, Exit
37.80, 4, red, Exit
37.80, 3, red, Exit
37.83, 4, red, Exit
37.87, 3, red, Exit
37.87, 4, red, Exit
37.87, 2, red, Exit
37.90, 4, red, Exit
37.90, 2, red, Exit
37.93, 4, red, Exit
37.93, 3, red, Exit
37.93, 2, red, Exit
37.97, 3, red, Exit
37.97, 4, red, Exit
37.97, 2, red, Exit
38.00, 4, red, Exit
38.07, 2, red, Exit
38.10, 4, red, Exit
38.20, 2, red, Exit
38.23, 3, red, Exit
38.23, 4, red, Exit
38.23, 2, red, Exit
38.27, 4, red, Exit
38.27, 2, red, Exit
38.30, 4, red, Exit
38.30, 2, red, Exit
38.33, 4, red, Exit
38.33, 2, red, Exit
38.37, 4, red, Exit
38.37, 2, red, Exit
38.40, 3, red, Exit
38.40, 4, red, Exit
38.43, 1, red, Exit
38.47, 4, red, Exit
38.50, 2, red, Exit
38.53, 4, red, Exit
38.57, 2, red, Exit
38.60, 4, red, Exit
38.63, 2, red, Exit
38.67, 4, red, Exit
38.83, 3, red, Exit
38.83, 4, red, Exit
38.97, 3, red, Exit
38.97, 4, red, Exit
39.37, 1, red, Exit
39.40, 4, red, Exit
39.50, 3, red, Exit
39.53, 4, red, Exit
39.53, 1, red, Exit
39.57, 4, red, Exit
39.57, 2, red, Exit
39.60, 4, red, Exit
39.80, 3, red, Exit
39.83, 4, red, Exit
39.93, 1, red, Exit
39.97, 4, red, Exit
39.97, 1, red, Exit
39.97, 2, red, Exit
39.97, 1, red, Exit
40.00, 4, red, Exit
40.07, 3, red, Exit
40.07, 4, red, Exit
40.10, 3, red, Exit
40.10, 4, red, Exit
40.10, 1, red, Exit
40.13, 4, red, Exit
40.13, 2, red, Exit
40.17, 4, red, Exit
40.20, 3, red, Exit
40.20, 4, red, Exit
40.27, 3, red, Exit
40.27, 4, red, Exit
40.33, 2, red, Exit
40.37, 4, red, Exit
40.43, 3, red, Exit
40.43, 4, red, Exit
40.50, 3, red, Exit
40.50, 4, red, Exit
40.53, 2, red, Exit
40.57, 3, red, Exit
40.57, 4, red, Exit
40.60, 3, red, Exit
40.60, 4, red, Exit
40.60, 1, red, Exit
40.63, 4, red, Exit
40.63, 3, red, Exit
40.67, 4, red, Exit
40.67, 3, red, Exit
40.70, 4, red, Exit
40.73, 3, red, Exit
40.73, 4, red, Exit
40.73, 3, red, Exit
40.73, 1, red, Exit
40.77, 3, red, Exit
40.77, 4, red, Exit
40.77, 3, red, Exit
40.80, 4, red, Exit
40.80, 2, red, Exit
40.83, 4, red, Exit
40.87, 3, red, Exit
40.87, 4, red, Exit
40.87, 1, red, Exit
40.87, 2, red, Exit
